Bulk ID,Miller Index,Trajectory ID in OC22,Bulk Symbols,Energy_type,Melting_point (K),ΔEhull (meV/atom),Is_stable,Esurf.,Predicted Eadh (J/m2) ,Predicted Contact Angle θ ,Is_NNMD or iGAM
mp-3163,"(3, 2, 1)",51024953_BaSnO3_mp-3163_clean_hSD6p68uts,Ba1Sn1O3,GGA,1988,0,Stable,4.12,-1.73,85.6,6-features iGAM
mp-766293,"(0, 0, 1)",Al11AgO17_mp-766293_clean_qMsFIjywLI,Al44Ag4O68,GGA,1619,35.09,Unstable,8.69,-1.89,79.54,6-features iGAM
mp-562441,"(1, 0, 0)",Cs3AlO3_mp-562441_clean_P2ZxwZJhTJ,Cs12Al4O12,GGA,899,0,Stable,1.75,-1.54,92.19,6-features iGAM
mp-21241,"(1, 1, 0)",Cr2ReO6_mp-21241_clean_gQBzjYkm6T,Cr4Re2O12,GGA+U,785,47.31,Unstable,17.29,-1.96,77.02,6-features iGAM
mp-1220387,"(1, 0, 1)",NbAgO3_mp-1220387_clean_7COdhWLlLb,Nb2Ag2O6,GGA,1514,53.43,Unstable,6.61,-2.12,71.22,6-features iGAM
mp-1102963,"(1, 2, -1)",2411243514_VO2_mp-1102963_clean_fSbaRGmk3w,V4O8,GGA+U,1480,0.76,Meta-stable,12.35,-1.96,76.97,6-features iGAM
mp-27767,"(1, 1, 1)",Li6Si2O7_mp-27767_clean_5KrNaSgBXj,Li12Si4O14,GGA,1537,15.09,Meta-stable,6.13,-1.92,78.73,6-features iGAM
mp-550893,"(2, 2, 1)",HfO2_mp-550893_clean_VINu2NAcno,Hf4O8,GGA,2957,88.73,Unstable,6.49,-2.01,75.3,6-features iGAM
mp-18224,"(0, 1, 0)",Rb6Ge2O7_mp-18224_clean_NfFtN0g0kI,Rb12Ge4O14,GGA,1310,0,Stable,3.6,-1.85,80.96,6-features iGAM
mp-1183405,"(2, 1, 1)",BaZnO3_mp-1183405_clean_lHZPCYHRdq,Ba1Zn1O3,GGA,1638,174.29,Unstable,3.72,-1.75,84.82,6-features iGAM
mp-2352,"(2, 1, 1)",Na2O_mp-2352_clean_dYqy3kgXg5,Na8O4,GGA,1423,0,Stable,2.27,-1.64,88.72,6-features iGAM
mp-753397,"(1, 0, 0)",Ga2CuO4_mp-753397_clean_9DV1ZPlZbb,Ga16Cu8O32,GGA,1600,75.75,Unstable,7.04,-2.03,74.59,6-features iGAM
mp-775757,"(0, 1, 0)",HfO2_mp-775757_clean_JIjHLL7Dtm,Hf8O16,GGA,2957,9.63,Meta-stable,12.76,-1.86,80.7,6-features iGAM
mp-754978,"(1, 0, 3)",235508583253254_CdCu2O3_mp-754978_clean_bdgg8WGvGn,Cd2Cu4O6,GGA,1381,39.5,Unstable,6.31,-2.11,71.42,6-features iGAM
mp-1281376,"(1, 0, 1)",NiPtO2_mp-1281376_clean_kJE94GWdn1,Ni2Pt2O4,GGA+U,1535,36.96,Unstable,10.55,-1.92,78.62,6-features iGAM
mp-1079882,"(1, 0, 0)",Ba3SrO4_mp-1079882_clean_uoGOoOXe65,Ba3Sr1O4,GGA,2496,36.79,Unstable,1.8,-1.38,97.97,6-features iGAM
mp-545512,"(1, 0, 1)",CaO_mp-545512_clean_WydruLnS4Q,Ca2O2,GGA,2855,65.04,Unstable,7.49,-2.07,73.12,6-features iGAM
mp-22334,"(2, 0, -1)",FeGeO3_mp-22334_clean_at5hsV5eZc,Fe8Ge8O24,GGA+U,1485,0,Stable,8.62,-2.04,74.28,6-features iGAM
mp-2229,"(3, 1, 0)",ZnO_mp-2229_clean_hBBWP8uAWU,Zn4O4,GGA,2121,147.27,Unstable,4.99,-1.99,76.12,6-features iGAM
mp-6948,"(3, 0, 1)",KNaO_mp-6948_clean_hwLyWDk4SG,K2Na2O2,GGA,742,14.9,Meta-stable,1.73,-1.42,96.51,6-features iGAM
mp-5226,"(1, 1, 0)",K2SeO4_mp-5226_clean_2GFyBM8Ccc,K8Se4O16,GGA,1221,0.11,Meta-stable,4.81,-1.96,76.97,6-features iGAM
mp-3790,"(0, 1, 0)",SrNb8O14_mp-3790_clean_3fjsU4cfvH,Sr2Nb16O28,GGA,2397,0,Stable,6.35,-1.94,77.88,6-features iGAM
mp-2652,"(1, 0, 0)",Y2O3_mp-2652_clean_eb24XhNR12,Y32O48,GGA,2677,0,Stable,4.26,-1.65,88.2,6-features iGAM
mp-5127,"(0, 0, 1)",LiCuO_mp-5127_clean_TDdZAUpBfS,Li8Cu8O8,GGA,1201,0,Stable,5.06,-2.1,71.8,6-features iGAM
mp-1219614,"(2, 2, 1)",1023002_Re3NiO8_mp-1219614_clean_HPLiw9TJ4a,Re6Ni2O16,GGA+U,1282,82.56,Unstable,8.55,-1.85,80.96,6-features iGAM
mp-1216722,"(1, 0, 1)",TiMoO4_mp-1216722_clean_m8iZfBXqaG,Ti2Mo2O8,GGA+U,1907,50.63,Unstable,11.23,-2.01,75.34,6-features iGAM
