Bulk ID,Miller Index,Trajectory ID,Bulk Symbols,energy_type,melting_point,Ehull (meV/atom),is_stable,E_surf.(J/m2),Predicted_E_adh(J/m2),Predicted_Contact_Angle (°)
mp-779000,"(0, 1, 0)",Rb4SbO4_mp-779000_clean_jFZZRPegYn,Rb16Sb4O16,GGA,1374,0,Stable,1.822499815,-1.632214165,88.92588118
mp-545820,"(1, 1, 2)",SnO_mp-545820_clean_oFSfUlWzrn,Sn8O8,GGA,1224,0.826659,Meta-stable,2.918285904,-1.63070057,88.98001808
mp-14437,"(3, -1, 0)",RbYO2_mp-14437_clean_MFvqoRl8ur,Rb3Y3O6,GGA,2557,0,Stable,2.869616237,-1.626986928,89.1128406
mp-7868,PtO2_mp-7868_(100),904239835_PtO2_mp-7868_clean_RBCcvHCk1X,PtO2,GGA,1738,4.623368,Meta-stable,2.019779796,-1.624840916,89.183
mp-1105,"(3, 0, 1)",BaO2_mp-1105_clean_LT9W3owcr0,Ba2O4,GGA,1377,0,Stable,2.685622212,-1.624303649,89.20880799
mp-1105,"(3, 0, 1)",BaO2_mp-1105_clean_CnqchDYndP,Ba2O4,GGA,1377,0,Stable,2.595499122,-1.623215282,89.24773276
mp-8086,"(1, 0, 0)",509358681_Na2Zn2O3_mp-8086_clean_cXdywqlyXb,Na4Zn4O6,GGA,1298,3.711269,Meta-stable,2.302424815,-1.623145376,89.25023291
mp-561942,"(2, 1, 0)",Cs3TaO8_mp-561942_clean_rtVLTX2ZMf,Cs6Ta2O16,GGA,1595,3.51932,Meta-stable,2.843557614,-1.621583993,89.30607418
mp-1198780,"(0, 1, 1)",LiSbO2_mp-1198780_clean_RwY7rHndP7,Li8Sb8O16,GGA,1352,0,Stable,2.513713654,-1.620349085,89.35023894
mp-7899,"(1, 0, 1)",BaCdO2_mp-7899_clean_gbMYsKt3Rw,Ba4Cd4O8,GGA,2007,0,Stable,2.730351271,-1.619831747,89.36874066
mp-28670,"(2, 1, -1)",Ba2Bi2O5_mp-28670_clean_eUPNOiZOYY,Ba4Bi4O10,GGA,1202,0,Stable,2.863050498,-1.61878194,89.40628512
mp-28670,"(1, 0, 0)",Ba2Bi2O5_mp-28670_clean_RRjX7Pzx3n,Ba4Bi4O10,GGA,1202,0,Stable,2.604739034,-1.618662185,89.41056792
mp-755293,"(1, 1, 3)",Sr4Sb2O_mp-755293_clean_YQNfQ5BMG4,Sr8Sb4O2,GGA,1622,0,Stable,2.06071644,-1.616548595,89.48615581
mp-754826,"(1, 1, 1)",CsScO2_mp-754826_clean_3tTs08Hvl8,Cs8Sc8O16,GGA,1457,0,Stable,2.566343596,-1.615554572,89.52170454
mp-29352,"(1, 2, 2)",Ba2PdO3_mp-29352_clean_lJxlQsH3aN,Ba4Pd2O6,GGA,1806,0,Stable,2.881007992,-1.615279402,89.53154526
mp-617,PtO2_mp-617_(2-13),PtO2_mp-617_clean_OplxFGhH9U,PtO2,GGA,1738,4.8006,Meta-stable,2.418307123,-1.614229134,89.5625
mp-765493,"(1, 0, 0)",Ba2Sb2O5_mp-765493_clean_AhMhsCocB6,Ba8Sb8O20,GGA,1685,0,Stable,2.799375595,-1.614282101,89.56721097
mp-1105,"(2, 2, 3)",BaO2_mp-1105_clean_rdDt8SkEBI,Ba2O4,GGA,1377,0,Stable,2.600147929,-1.614077107,89.57454203
mp-10417,"(2, 1, 2)",KSbO2_mp-10417_clean_pASAJcsRug,K4Sb4O8,GGA,1208,0,Stable,2.909416667,-1.614022393,89.57649868
mp-1070510,"(1, 0, 1)",Y2BiO2_mp-1070510_clean_0Rc0MjTfpF,Y4Bi2O4,GGA,2399,0,Stable,2.561191546,-1.613548569,89.59344364
mp-867730,"(2, 2, 1)",Cs2SnO3_mp-867730_clean_Nd4qMYpRF2,Cs8Sn4O12,GGA,1088,0,Stable,2.241502321,-1.613151914,89.60762882
mp-754826,"(1, 1, 1)",CsScO2_mp-754826_clean_PhyB8FGaIE,Cs8Sc8O16,GGA,1457,0,Stable,2.459431149,-1.612156003,89.64324448
mp-10417,"(2, 0, 1)",KSbO2_mp-10417_clean_Varx8VXxnd,K4Sb4O8,GGA,1208,0,Stable,2.649888599,-1.611915567,89.65184292
mp-17911,"(1, 0, -1)",Ba2ZnO3_mp-17911_clean_BwsYVIi8qi,Ba16Zn8O24,GGA,1956,0,Stable,2.938422258,-1.610827944,89.69073817
mp-29193,"(1, 2, 0)",Nb2Se4O13_mp-29193_clean_gBq4hqX869,Nb4Se8O26,GGA,1312,0,Stable,2.634376371,-1.609478669,89.73899039
mp-14175,"(1, 1, 1)",K3NbO8_mp-14175_clean_nOhVre6fDD,K6Nb2O16,GGA,1449,0,Stable,2.760756233,-1.605663316,89.87543255
mp-1198780,"(2, 2, 1)",LiSbO2_mp-1198780_clean_VTjpVEBclg,Li8Sb8O16,GGA,1352,0,Stable,2.248108906,-1.602697599,89.98149006
mp-1342,"(3, 1, 0)",BaO_mp-1342_clean_yC5ujE7IgL,Ba4O4,GGA,2297,0,Stable,1.785046818,-1.601405386,90.02770106
mp-17525,"(3, 3, 2)",Nb5Pt3O_mp-17525_clean_Hm8TUGPjby,Nb10Pt6O2,GGA,2418,21.865657,Meta-stable,2.596319275,-1.600207095,90.07055333
mp-22170,"(1, 1, 0)",Li4PbO4_mp-22170_clean_sZyuDf9YnB,Li16Pb4O16,GGA,1198,0,Stable,2.78748762,-1.599765343,90.08635091
mp-18288,"(1, 0, 1)",Ti-SnO2-2_mp-18288_clean_wjxnfZzGbA,Ti4Sn8O16,GGA,2102,1.057697,Meta-stable,2.935504776,-1.597464794,90.16862139
mp-761024,"(0, 1, 0)",Na2Cd2O3_mp-761024_clean_0aBA7QCo5Z,Na4Cd4O6,GGA,1094,0,Stable,2.654039762,-1.596138607,90.2160476
mp-6989,"(1, 1, 3)",BaSeO3_mp-6989_clean_O7dqxdlLEU,Ba2Se2O6,GGA,1439,0,Stable,2.327150314,-1.594895613,90.26049887
mp-17250,"(1, 0, 0)",K3SbO3_mp-17250_clean_fQrfFZxKY4,K12Sb4O12,GGA,1420,0,Stable,2.27190053,-1.591503076,90.38182177
mp-1101441,"(1, 2, -1)",Rb4TiO4_mp-1101441_clean_gpS09BOJ8p,Rb8Ti2O8,GGA,1419,0.560343,Meta-stable,2.971955759,-1.591132185,90.39508557
mp-30950,"(1, 0, 2)",Sr3GeO_mp-30950_clean_QkvS0Q1Nf1,Sr12Ge4O4,GGA,1588,0,Stable,2.13640697,-1.590482884,90.41830589
mp-9655,"(0, 1, 2)",Na4SnO4_mp-9655_clean_qaDwBdkSCV,Na8Sn2O8,GGA,1215,0,Stable,2.938332628,-1.590178812,90.42918016
mp-13660,"(2, 1, 0)",Ca4Sb2O_mp-13660_clean_u1RNnHhbh6,Ca8Sb4O2,GGA,1597,0,Stable,2.168253737,-1.587418728,90.52788734
mp-30988,"(1, 2, 1)",KBiO2_mp-30988_clean_gZuC4qx8Xu,K4Bi4O8,GGA,1103,0,Stable,2.059384948,-1.587253695,90.53378937
mp-27931,"(2, 1, 0)",Rb2SnO2_mp-27931_clean_WnzRttU9nk,Rb8Sn4O8,GGA,1107,0,Stable,1.991580549,-1.585026115,90.61345418
mp-753798,"(1, 1, 0)",Rb2SnO3_mp-753798_clean_ncBHzZlnzE,Rb8Sn4O12,GGA,1142,0,Stable,2.190763503,-1.584845022,90.61993061
mp-1201514,"(1, 0, 0)",K2RuO5_mp-1201514_clean_zmW5JHlnjR,K8Ru4O20,GGA,1237,7.019219,Meta-stable,2.57895467,-1.583243468,90.67720771
mp-7863,"(1, 0, 0)",Rb2Sn2O3_mp-7863_clean_ZQjFhHDg0F,Rb6Sn6O9,GGA,1111,0,Stable,2.044350452,-1.581798358,90.72889038
mp-22984,"(1, 2, -1)",NaBiO2_mp-22984_clean_11zD4c02ok,Na4Bi4O8,GGA,1116,0,Stable,2.027376575,-1.579181679,90.82247436
mp-29911,"(1, 1, 2)",Ba3Sb2O_mp-29911_clean_j7F0ebP0n6,Ba12Sb8O4,GGA,1558,0,Stable,1.747993839,-1.573479851,91.02640489
mp-28510,"(0, 1, 0)",Li3BiO3_mp-28510_clean_jywKgfX830,Li24Bi8O24,GGA,1432,0,Stable,2.035056807,-1.573182006,91.03705786
mp-30980,"(1, 1, 0)",NaYO2_mp-30980_clean_DIMSm0GuCn,Na8Y8O16,GGA,1931,0,Stable,2.803270937,-1.572872813,91.04811679
mp-758413,"(1, 0, 0)",Na2CdO2_mp-758413_clean_HTSyj5jCF7,Na32Cd16O32,GGA,1083,0,Stable,2.416344691,-1.570288503,91.14055153
mp-758413,"(1, 0, 0)",Na2CdO2_mp-758413_clean_SD7d0Vdiio,Na32Cd16O32,GGA,1083,0,Stable,2.416104102,-1.570162159,91.14507063
mp-7961,"(3, 1, 0)",Sr3SnO_mp-7961_clean_iWVcexAIem,Sr3Sn1O1,GGA,1349,0,Stable,1.684353696,-1.569771616,91.15903972
mp-19306,Fe3O4_mp-19306_(110_Ov),,Fe3O4,GGA+U,1908,0,Stable,2.206859152,-1.567157838,91.2465
mp-6989,"(2, 1, 2)",BaSeO3_mp-6989_clean_KCV4xI3LlW,Ba2Se2O6,GGA,1439,0,Stable,2.983362834,-1.566799943,91.26533394
mp-656887,Ni3O4_mp-656887_(201),Ni3O4_mp-656887_clean_wr8aYUGTbD,Ni3O4,GGA+U,2188,0,Stable,1.771707071,-1.56567024,91.2996
mp-29542,"(2, -2, -1)",K4Bi2O5_mp-29542_clean_viElPMLWzQ,K8Bi4O10,GGA,1088,4.531491,Meta-stable,2.384456685,-1.565678373,91.30545265
mp-9774,"(2, 1, 0)",Ba4Sb2O_mp-9774_clean_2o2auDLQdp,Ba8Sb4O2,GGA,1744,0,Stable,1.565222656,-1.564932988,91.33211552
mp-867570,"(1, 1, 0)",Rb4Sb2O5_mp-867570_clean_89OBKnD2yI,Rb16Sb8O20,GGA,1126,0,Stable,1.813199047,-1.56228703,91.42676544
mp-1342,"(3, 3, 2)",BaO_mp-1342_clean_fhFGlEqken,Ba4O4,GGA,2297,0,Stable,2.219509557,-1.559504077,91.52632007
mp-30950,"(1, 1, 2)",Sr3GeO_mp-30950_clean_4MKHrv3jDS,Sr12Ge4O4,GGA,1588,0,Stable,1.39790334,-1.558397261,91.5659155
mp-30950,"(1, 1, 2)",Sr3GeO_mp-30950_clean_8MHgR3DXuj,Sr12Ge4O4,GGA,1588,0,Stable,1.39790334,-1.558397261,91.5659155
mp-30949,"(1, 1, 2)",Sr3SiO_mp-30949_clean_faeLOzftEj,Sr12Si4O4,GGA,1603,0,Stable,1.255077619,-1.557018639,91.61523559
mp-755293,"(1, 0, 0)",69019397_Sr4Sb2O_mp-755293_clean_PtmLxpD47z,Sr8Sb4O2,GGA,1622,0,Stable,1.539734625,-1.555497519,91.66965493
mp-561942,"(3, 2, 3)",Cs3TaO8_mp-561942_clean_IfPRwNGaMD,Cs6Ta2O16,GGA,1595,3.51932,Meta-stable,1.817826485,-1.552468934,91.77800962
mp-7961,"(3, 3, 1)",Sr3SnO_mp-7961_clean_Lk0Vh3qxpJ,Sr3Sn1O1,GGA,1349,0,Stable,2.509626864,-1.552408118,91.78018553
mp-1201514,"(1, 0, 0)",K2RuO5_mp-1201514_clean_s3auAD60jl,K8Ru4O20,GGA,1237,7.019219,Meta-stable,2.955987062,-1.551942383,91.79684887
mp-19086,"(1, 0, 0)",90423983534_BaCoO2_mp-19086_clean_h1Bo8qbuDI,Ba3Co3O6,GGA+U,1930,0,Stable,2.319160413,-1.551749914,91.80373516
mp-19086,"(1, 0, 0)",123212059559_BaCoO2_mp-19086_clean_UPMfqWj8OP,Ba3Co3O6,GGA+U,1930,0,Stable,2.319160413,-1.551749914,91.80373516
mp-1228030,"(1, 0, 0)",Ba4Bi2O_mp-1228030_clean_x6w2hUIrLp,Ba8Bi4O2,GGA,1147,0,Stable,1.188217426,-1.551644676,91.80750045
mp-1228030,"(1, 0, 0)",Ba4Bi2O_mp-1228030_clean_pTkAFzRpZU,Ba8Bi4O2,GGA,1147,0,Stable,1.187406555,-1.551644676,91.80750045
mp-996990,"(1, 1, 3)",BaAgO2_mp-996990_clean_nsmraXNrEn,Ba1Ag1O2,GGA,1233,0,Stable,2.629704839,-1.548636864,91.91512006
mp-1017,"(1, 1, 0)",Zr3O_mp-1017_clean_1UJXa7SEoE,Zr6O2,GGA,2222,4.173433,Meta-stable,0.702198053,-1.54852158,91.91924504
mp-2352,"(3, 2, 0)",Na2O_mp-2352_clean_7QSMxA4YMk,Na8O4,GGA,1423,0,Stable,2.244653172,-1.546854921,91.97888116
mp-755322,"(0, 0, 1)",BaNa6O4_mp-755322_clean_qWCcdpkYCy,Ba2Na12O8,GGA,1121,18.03426,Meta-stable,2.850268038,-1.544752042,92.05412912
mp-27931,"(1, 0, 0)",Rb2SnO2_mp-27931_clean_w0PdvfKIqf,Rb8Sn4O8,GGA,1107,0,Stable,2.07984067,-1.540501628,92.20623392
mp-7118,"(1, 1, 1)",Rb4SnO4_mp-7118_clean_bD8wF6oSPP,Rb8Sn2O8,GGA,1274,0,Stable,1.933505002,-1.536629966,92.34479823
mp-13660,"(2, 1, 0)",Ca4Sb2O_mp-13660_clean_CCizEYqMmy,Ca8Sb4O2,GGA,1597,0,Stable,2.168059592,-1.53616042,92.36160392
mp-27931,"(2, 1, 0)",Rb2SnO2_mp-27931_clean_qI7mIFSo6y,Rb8Sn4O8,GGA,1107,0,Stable,2.028841924,-1.532503147,92.49250961
mp-755363,"(1, 3, 0)",Ba3SiO_mp-755363_clean_9EDAtzt1M2,Ba12Si4O4,GGA,1630,0,Stable,2.054690988,-1.530253249,92.57304721
mp-29542,"(2, -2, 1)",K4Bi2O5_mp-29542_clean_3y3QF2UcNy,K8Bi4O10,GGA,1088,4.531491,Meta-stable,2.884362293,-1.529734123,92.59163064
mp-29542,"(2, -2, 1)",K4Bi2O5_mp-29542_clean_apNzsfiXBE,K8Bi4O10,GGA,1088,4.531491,Meta-stable,2.884313034,-1.529734123,92.59163064
mp-1019519,"(1, 2, 1)",Ba2NaO_mp-1019519_clean_JL0yP0qrRx,Ba8Na4O4,GGA,1573,0,Stable,0.897485829,-1.528057858,92.65163858
mp-29542,"(2, 0, -1)",K4Bi2O5_mp-29542_clean_lRSQq1Qz4a,K8Bi4O10,GGA,1088,4.531491,Meta-stable,2.752505125,-1.527705159,92.66426508
mp-9721,"(3, 1, 0)",Ca3GeO_mp-9721_clean_hVdInpWaFY,Ca3Ge1O1,GGA,1749,0,Stable,2.086991129,-1.526991515,92.68981369
mp-7863,"(1, 0, 0)",Rb2Sn2O3_mp-7863_clean_r3fAdIWyZw,Rb6Sn6O9,GGA,1111,0,Stable,2.042901285,-1.52468868,92.77225934
mp-8759,"(1, 1, 0)",Cs2ZrO3_mp-8759_clean_VeCLdbh7h8,Cs8Zr4O12,GGA,2051,0,Stable,2.590931066,-1.524685505,92.77237301
mp-29542,"(2, -1, 0)",K4Bi2O5_mp-29542_clean_x0AoOUZmAc,K8Bi4O10,GGA,1088,4.531491,Meta-stable,2.210720969,-1.522269113,92.85889039
mp-755363,"(0, 1, 2)",Ba3SiO_mp-755363_clean_dgLu2c5zc6,Ba12Si4O4,GGA,1630,0,Stable,0.930475096,-1.520084707,92.93710725
mp-755363,"(0, 1, 2)",Ba3SiO_mp-755363_clean_7dJSj0JMRB,Ba12Si4O4,GGA,1630,0,Stable,0.93012355,-1.520084707,92.93710725
mp-1179089,"(1, 1, 0)",SrO2_mp-1179089_clean_F9oGeSBggI,Sr4O8,GGA,1759,9.602361,Meta-stable,2.841308435,-1.518067813,93.0093309
mp-1604,Pt3O4_mp-1604_(211),Pt3O4_mp-1604_clean_0RfhMlRme2,Pt3O4,GGA,1610,0,Stable,1.336879843,-1.516412305,93.0628
